共：22090个

拼音,数量,内容
ci,53,佌垐瓷茈此祠嬨赼刺蛓辝跐词兹雌玼次茨磁廁庛趀辤栨絘粢刾疵泚飺伺辭甆辞莿佽柌糍赐餈朿詞呲薋差鹚珁慈濨鷀皉賜骴
cong,59,从焧匆樷慒聪蟌徔燪賨從蔥聡茐漗謥樅欉篵繱驄悰琮漎聦熜苁婃潈蓯枞叢悤従囱囪棇丛鏦淙灇藂瑽葱璁鍐騘誴瞛孮骢錝爜賩聰暰徖樬潀
cou,6,湊凑辏輳楱腠
cu,32,殂縬噈蔟猝麄卒蹴脨麁鏃鼀踧錯蹙橻酢槭促瘯梀趣麤徂趨趗豠殧醋觕簇粗
cuan,22,爨簒攒篹躥鋑汆篡攛攅竄镩殩攢蹿撺熶巑劗窜鑹櫕
cui,49,脆趡臎竁凗倅忰粋璀崔疩啐脺槯淬嗺琗綷獕隹瘁缞墔鏙濢啛焠焫脃粹翆膵磪慛催漼榱衰伜膬萃橇紣摧顇翠悴皠毳
cun,14,竴籿袸邨存刌寸忖吋澊皴蹲村銌
cuo,39,蒫硰挫嵯侳剒痤嵳酂脞齰錯莡措虘锉銼错搓剉厝蓌遳歵矬磋蹉撮縒瘥蔖髊鹾瑳莝鹺睉逪醝
da,45,笪怛撘打荅詚大達阘呾闒妲疸畗逹搭哒塔达鞑嗒迚垯咑炟薘鐽畣褡匒墶沓瘩荙燵韃蟽靼噠繨答眔跶墖耷
dai,53,鮘垈艜歺曃瑇酨代呆大骀迨带蹛殆岱帒黱玳忕跢懛甙軩襶黛怠柋貸呔霴軚靆叇傣逮紿汏轪绐廗獃戴緿瀻帶待簤歹贷帯埭袋
dan,94,单沊丹殫啖担澹蜑潬澸憚憺嘾饏淡惮髧襌聸觛勯紞甔瓭簞窞弹啗砃眈鄲帎殚暺胆駳膽郸啿腅褝匰酖但亶刐頕柦衴疸儋掸氮赕霮狚耼妉單単撢弾媅彈鴠萏躭癚噉疍馾旦石聃耽幨丼撣瘅玬擔僤箪蓞賧蛋癉嚪灗泹诞舕誕黵
dang,52,攩氹挡裆珰碭铛筜儅荡谠襠礑鑁当砀噹垱簜党瓽蘯闣蟷簹鐺艡檔盪嵣擋菪蕩圵壋璫宕凼黨讜欓璗愓灙趤逿譡瞊档雼當澢
dao,54,衜岛魛壔叨悼幍鱽檤隯燾隝嶌禂刂氘到稲稻倒舠盗蹈椡螩嶹幬搗槝嶋釖導道导島刀祷朷軇捯艔瓙菿翿擣衟禱帱焘忉捣盜噵纛
de,14,鍀惪锝底的地棏淂嘚悳恴得徳德
dei,2,得嘚
deng,32,鐙蹬豋隥僜嶝噔磴澄凳璒霯蕽艠鄧簦邆竳嬁灯澂燈朩邓瞪登墱覴镫等櫈戥
di,132,鉪笛镝弟摕楴仢磾彽底荻枤偙聜睇墆菧旳墑提啇滌軑僀慸梑犒抵玓肑虳袛嚁趆覿觌碲涤杕嵽砥鏑敵鸐滴頔翟梊鍉芽鯳蔐坻軧爈啲羝骶奃拞綈谛坔唙递蒂绨狄樀逓踶缔坘廸籴釱柢糴埞甋茋氐掋蔋遞哋嘀螮堤渧禘珶祶蹢牴诋帝呧焍嫡菂棣弤藋娣諦埊地締苖迪詆低馰的仾腣蔕眡靮觝阺篴潪豴敌第怟邸藡鞮嶳
dia,1,嗲
dian,62,齻蜔錪掂奌攧琠踮颠殿槇癲嵮簟坫碘澱靛敟垫磹店痁婝巅顚玷壂佃點巔厧阽惦傎癫点滇槙甸橂钿癜蹎墊巓典瘨敁鈿丶顛扂电淀蕇琔椣嚸奠電婰
diao,47,鑃貂竨琱鲷銚伄蛁瘹鳭弔誂钓彫鮉吊凋魡鸟鯛瞗屌铫釣雕铞殦窵簓訋扚叼窎鼦鵰虭蓧汈銱掉奝鋽調调碉刁弴
die,54,臷苵疊耋喋跌踮曡絰幉鲽挕艓褋迭碟恎疉牒谍嶀鰈垤佚叠諜蹀聑胅绖耊楪揲戜褺镻蜨疂惵氎詄昳爹峌蝶趃牅眣堞跕眰畳瓞咥
ding,47,盯腚顁铤濎锭鼑甼鼎鐤鋌町饤钉矴玎檙碇掟飣釘椗萣酊嵿碠耵靪忊定帄聢錠薡磸疔虰娗頂叮訂顶仃订丁啶奵
diu,5,铥乣丢銩丟
dong,50,胨炵鸫东娻涷崠鼕鯟挏凍東动冬硐霘棟蝀戙昸氭働駧崬倲岽苳侗洞笗峒菄墥鮗冻恫董栋鶫鶇氡埬箽動嬞胴腖咚懂垌
dou,43,都唞斣窦饾鬦抖閗吺竇乧鬥郖兠鬬陡枡唗脰毭鋀荳痘逗敨橷闘餖読兜斗蔸蚪豆梪鬭讀浢鬪读阧枓篼
du,74,都騳讟睹杜鑟犢螙頓镀錖椟赌涜闍蠧韇醏蠹覩匵黩妬斁賭嬻靯牘荰暏嘟喥韥犊厾篤読顿櫝儥豄殰肚裻黷皾讀琽阇秺妒渎渡殬独瀆读蝳髑簵帾度鍍堵贕督瓄毒牍纛芏笃獨凟
duan,26,葮斷腶塅端瑖籪碫褍断躖煅耑毈簖鍴媏鍛短缎椴段緞锻剬偳
dui,32,濻陮碓嵟对隊镦薱怼兊兌队瀩鐓頧譈痽堆憞垖鐜憝塠磓敦濧轛兑綐對対懟
dun,44,蹾吨惇庉鈍頓潡镦蜳墪崸炖盾遁噸鶨逇碷腞蹲躉鐓楯撴趸墩獤坉顿盹燉扽沌囤遯撉驐砘敦犜伅踲礅钝
duo,76,亸尮掇埵挆躲鐸柮軃墮駄嶞哚裰铎墯朵貀踱襗陏奪躱鈬垜莌驮綞桗跺枤趓痥鮵刴馱憜敪夛堕柁茤崜嚉饳陊敓敠椯哆敚凙多舵垛飿嚲剁夺朶缍咄剫毲沲剟惰跥度鵽炨炧挅痑腏鬌
e,115,皒呃諤扼磀鵞騀讍齶俄崿豟妿遏囮屵蘁额阨枙腭峨娥颚誐婀蛾硆涐櫮鵈搤阸餓愕遌蝁砨僫鑩圔鈋湂鵝鶃哦砐額轭苊搹鍔貖鹅锇鶚咢偔軶軛吪訛頞堊莪戹厄阿詻餩卾魤萼咹讹鈪蕚悪覨噩峩鳄呝鰐阏恶嶭峉擜惡谔垩锷痾堮鹗錒迗琧鋨娿睋閼岋屙譌頟饿蚅堨鱷鄂顎珴妸
ei,3,诶欸誒
en,4,恩摁奀蒽
eng,1,鞥
er,55,邇隭饵誀尒侕爾栮胹迩毦而貳聏贰眲児髵樲鸸衈二佴尓鴯檽洱耏鲕鮞餌趰铒薾耳袻輀儿弍弐咡唲尔鉺栭轜駬峏兒珥洏荋陑刵貮
fa,39,琺笩瞂罚髪醱栰乏酦閥发姂砝傠疺灋彂罸藅橃伐栿罰浌牫發颰茷筏阀垡髮法佱発鍅蕟醗珐
fan,80,舧忛飰訉薠緐匥杋藩礬范鷭蠜魬犯笲蘩販烦蹯範凢滼旙飯釩帆煩盕翻瀿蕃嬎柉鄤贩钒羳幡墦繙番奿嬔軓憣笵璠轓鱕襎橎僠嬏泛飜汎凡饭矾旛鐇勫梵膰反軬颿畈籓舤瀪氾籵棥樊燔凣返繁
fang,38,訪魴坊鶭鴋鈁房鲂彷放纺邡访仿汸蚄瓬舫倣肪妨钫匚埅旊昉淓枋髣防芳趽昘眆方紡牥堏
fei,72,鐨奜棐渄霏腓诽匪餥肥扉廃蜰朏騛芾緋杮飝鲱悱疿濷厞裶翡非剕猆啡誹婓蕜菲篚淝妃騑屝俷萉馡蟦靟斐胇飞鯡廢櫠癈榧砩绯费婔暃痱曊沸靅飛肺废怫昲狒鼣蜚費吠镄
fen,77,蚠濆橨妢僨砏憤奮愤棼帉訜秎燌朆膹雰弅羒奋昐饙隫墳燓鱝忿鳻餴鲼鈖份芬馩豮吩兝坆分蚡梤坋竓汾瀵蒶黂躮糞炃鼖豶焚轒翂蕡竕坟黺衯酚鐼鼢幩粉紛岎羵氛魵玢粪棻馚纷偾枌
feng,79,莑縫焨丰蘴葑讽僼鳳逢灃風瘋峯鏠寷赗妦沨鋒艂砜崶諷桻凤疯檒烽锋峰蠭奉鄷溄捀賵麷鳯飌偑蜂豐堸鎽沣鴌枫漨摓盽熢夆冯俸封湗覂綘凬馮楓碸唪凮风篈靊酆豊浲渢仹犎琒煈猦缝凨
fo,5,佛仏髴坲梻
fou,14,不芣殕缻哹雬缶缹否鴀紑裦罘剻
fu,233,妋佛甶腐烰頫咈筟撫駙捬綍祔拂璷芾箙苻棴蚹鲋鴔陚褔琈斧赋岪赴鄜付婏禣讣蚥鳆绋鍑砆萯蝮幅副扶祓巿匐彿鉜鉘縛孵鶝嘸椱蕧俯桴符乶旉綒绂郙胕澓炥袚賻附垘蜅葍洑辐弣麩柎呋浮腑鍢帗輔粰姇砩黻乀蝜稃咐刜弗箻訃甫酜凫釡暊黼鯆韨踾絥複脯紼俘俌郛翇詂妇艴莩枹呒軵滏緮跗腹鶕伕畐伏荴仏娐菔竎麬畉拊赙复婦払罦茯袱阝輹沷輻艀鳬怤咉鵩復紱趺覆諨馥怫福麸敷涪釜服蝠柫枎冹盙秿傅尃芙焤鰒负峊衭麱鳧茀幞鮲蜉賦氟玸糐鬴袝懯膚鮒負泭邞孚夫榑偩富笰覄冨父稪虙驸紨肤鮄蚨鈇癁缚豧鳺辅簠椨抚颫髴府媍蛗玞韍昲坿阜罘
ga,17,錷胳咖旮尕夹軋釓钆噶伽尜嘠轧嘎玍尬
gai,40,垓丐姟隑盖瓂畡豥該槪槩攺赅概漑祴戤魪溉郂匄芥鈣賅陔改絠荄钙蓋胲该摡晐匃賌峐乢侅忋
gan,67,詌尲咁酐秆干芉鳡灨杆绀坩橄汵尵尶凎筸虷淦骭皯赣肝嵅苷赶鱤紺檊玕敢感幹攼擀倝涻簳盰贛迀柑乹疳尷鳱泔忓桿竿趕蜬粓乾澉甘衦稈尴旰榦亁矸贑仠凲
gang,36,焵犅港掆焹鎠槓棡綱罒戅筻釭罁鋼笐冮疘扛岡冈肛崗纲剛堽杠缸岗罡刚钢塂碙堈戆
gao,49,槹搞稾橰餻鎬篙禞鋯滜缟皐杲鼛糕槔镐羔韟诰郜櫜臯稿藳檺吿髙煰槁羙锆菒鯌祰暠藁誥攪睪膏皋高告縞睾筶夰祮
ge,88,舸諽櫊笴齃鶮敋韐觡咯阁嗰個革合鬲格鰪胳鞷纥个戈圪蛒擖戨挌哿哥箇歌鎘疙騔鉻蓋虼呄裓魺敆肐鴚愅屹割閣臵硌搿铬彁渮骼隔謌镉袼膈颌韚各佮鴿麧盖葛輵鸽紇鮯滒鎶蛤茖槅匌塥搁擱葢仡獦戓轕嗝閤
gei,2,给給
gen,8,亙哏艮跟刯根茛亘
geng,40,鯁羮埂哽絚頸畊焿菮庚耕郠絙浭頚堩粳峺亙莄鹒羹赓椩暅賡梗鲠鶊搄綆縆挭颈绠骾耿揯更緪
gong,60,銾功羾竓宫竔龏攻糼杛红釭髸摃躳共蚣蛬貢鞐礦贡幊疘鋛鞏愩觵竏巩栱篢龔汞宮唝慐拱龚廾弓竡觥拲躬肱嗗匑碽供穬熕竍紅公塨恭珙竕工
gou,52,緱诟篝韝搆坸蚼撀笱鞲姤耉缑鉤彀購沟勾岣媾雊詬佝玽购覯苟鈎构觏褠遘構冓簼垢唦訽钩溝茩耈芶够狗茍傋枸句耇豿夠
gu,110,姑稒脵嫴顾箍錮蠱蛄鲴凸臌孤鵠梏毂鴣鶻崓尳凅呱估鹄觚鸪故牯骨篐橭鈲薣固僱逧苽瞽馉嘏榖轂轱贾诂蓇賈詁罟痼狜鹘鯝頋傦谷雇瀔皼菰杚糓辜钴顧夃吿箛鈷鼓笟鮕滑軲濲扢汩罛堌菇唂盬餶棝淈軱祻沽蛌锢皷崮古咕牱鼔唃縎牿榾穀酤股家蛊愲告羖泒柧
gua,42,卦颳寡瘑诖褂膼瓜踻掛銽葀頢趏蝸腡罫括冎劀詿剐鴰絓罣髺聒歄栝刮緺胍剮啩呱煱懖叧鸹筈騧挂
guai,15,摑枴廥柺箉夬叏恠癐旝宔拐乖怪掴
guan,67,灌筦覌丱罐癏鳤琯摜関泴窤關馆矜倌潅鑵盥慣蒄管雚矔鰥悹瓘館礶觀鸛冠闗観祼貫官輨关鏆棺樌惯爟鹳錧欟唍遦纶观莞悺瘝圕鱹舘鱞掼罆謴綸痯鳏贯涫毌
guang,28,逛烡桄臩黆珖廣矌洸僙炚犷臦咣侊櫎光胱銧炗輄広獷灮茪广姯垙
gui,89,觤佹櫃炔规跪垝桂柜嫢炅攱恑珪璝鳜傀蟡贵匦瓌鬶刿鬹癸袿圭氿槻劌鱥筀亀嬀貴妫巜檜閨桧鮭邽庪規楿归窐瑰厬姽郌祪暩皈陒鬼媯庋嶡劊晷槼刽溈龜蛫宄轨詭帰鞼闺龟歸诡溎匭簋膭硅胿軌鲑摫昋鱖攰蓕椝
gun,19,滚袞鲧滾蓘輥鯀绲掍鮌衮磙辊裩睴蔉緄璭棍
guo,55,慖幗摑渦埚國漍鈛帼餜圀膕馃果椁腂腘鍋蟈菓咼輠墎簂聝堝淉囶虢啯裹过囯嘓郭濄聒粿蜾蝈掴鐹槨馘囻綶崞錁涡国猓呙過锅惈
ha,7,鉿蝦蛤铪虾哈鰕
hai,24,還烸害嗨駭饚骸嗐还嘿亥孩咳海骇醢胲酼絯餀氦嚡和咍
han,94,汉函犴哻旱浫邯閈漢韩淊屽榦頜焓鋎攌蚶韓喊猅蜭晘唅頇熯憾涆澏雗犾炶颔駻傼扞闬晗釬豻谽佄酣譀甝馠垾馯圅憨娢鼾銲邗莟暵螒阚顄梒汗蛿鶾崡捍罕寒瀚厃皔嚂蔊筨鋡闞涵顸嫨含凾撼菡厂頷悍琀晥撖浛焊翰魽豃睅
hang,22,桁雽斻夯貥绗珩行蚢迒颃航苀絎裄吭杭魧頏沆筕巷
hao,64,貉薃瀥號譹滈嚆儫号鎬獋浩暤灏噑皜傐豪鶴哠顥毫皓侾秏鰝狢镐曍獆耗颢嚎灝壕蒿鄗好嘷諕昊峼晧淏籇聕恏濠嗥蠔涸昦薅悎暭皡蚝皥皞勂椃郝獔澔
he,102,荷蝎碋曷河爀澕鸖咊阂篕靏萂礉抲翮閡煂釛合覈涸郃猲赫诃龢頜峆劾貉菏姀靎秴鉌暍賀纥鶴螛蠚鹤何訶貈鹖蓋嵑隺魺滆柇蒚核阖寉壑詥俰翯狢袔惒毼哬皬啝龁贺颌楁廅熆嚇靍盇佫呵蚵盍喝嗃熇癋鞨紇盉褐吓禾齕鶡嗬饸闔盒閤餲訸趷和
hei,5,嗨黒黑嘿潶
hen,7,狠拫恨很痕鞎詪
heng,29,恒桁衡横鴴揘鸻亯澋撔涥誙哼珩行堼悙鑅亨楻橫啈姮絎諻蘅恆脝佷
hng,1,哼
hong,83,蕻闳峵灴晎鞃硔瓨鴻汞潂訌葓粠宖哅黉鉷揈閧鋐谹垬宏鸿紘訇谾彋澒轟溄弘轰纮荭霟渹魟浤綋顭苰輷薨红鬨呍竑谼汯紭妅翃竤洪焢叿玒紅嗊鍧篊翝哄軣黌耾讧硡鈜仜虹吽烘娂舼閎葒鍙玜渱泓
hou,35,鍭帿鲎猴犼鲘吼堠齁餱鯸葔郈豞缿侯鮜厚矦垕睺洉鄇鱟逅骺糇瘊篌翭後喉銗后候
hu,142,熩吰枑絗蔛焀萀楜壷護鵠淴鶻寣戸岵虝鹄軤呼槴綔螜恗唿鶦膴祜沍嫮喖虍淲餬嚛冴囫頀怙幠鹕弖怘臛忽嫭匢鄠鹘冱烼戲啒核鶘戶戽笏匫垀轷曶鬍惚衚泘抇扈頶戏胡糊猤瀫壶搰昈嘑楛鹱煳槲鼓鳸瓠許弧觳苸壺醐謼斛虎沪湖瓳唬豰乕护蝴蔰鸌滹鳠雐謢瑚欻滬鰗歑虖戯烀歘帍摢乎琥嘝箶昒峘互魱鍸鯱汻滸簄浒猢户狐媩錿縠婟和葫
hua,48,铧磆譮话呚澅豁蕐畵猾划桦崋嘩枠芲劃驊樺螖繣觟骅夻話画鷨舙花婳摦鏵杹諣撶嬅化滑嫿哗槬畫華錵釫砉譁华
huai,22,佪蘾懐划壞徊淮懷坏瀤壊怀櫰耲咶褢踝槐蘹諙褱竵
huan,90,嬛欢换歡萈圜幻槵鴅豢宦擐唤瓛梙煥镮雈环貆還懁捖狥轘浣羦驩奂睆萑还阛輐桓豲烉缳渙觨嵈瑍涣鵍環犿愌寏焕嚾澴锾鯇讙闤澣肒鰀皖痪鲩酄鐶緩缓鍰繯垸郇狟喚漶洹逭瘓換鹮瞣喛懽奐糫患獾鬟貛寰荁歓藧
huang,70,鳇鐄湟怳奛詤癀縨恍洸瑝艎荒徨皝潢榥墴煌谎衁篁騜熿熀鰉皇鱑遑鍠黃晃黄謊塃偟锽巟凰宺滉軦磺璜穔餭簧肓蟥愰皩朚隍嚝崲獚趪韹晄慌撗葟鷬幌鎤惶堭媓蝗喤
hui,157,蛕婎噕翬囘揮餯蜖嘒徊會阓獩鼿拻贿圚澮洄潰靧橞褘媈浍灰秽憓晦頮豗滙潓廆鰴襘煇茴慧篲墮迴恵徽翚辉絵蔧蕙灳譭烩睳翙洃溃燴詼恛翽僡賄堕咴璯颒诙櫘誨屶檓彗禬晖琿痐藱繐檜繢悔珲隓桧惠撝毇禈哕袆噧輝詯蛔韢荟烠缋薈彙恢蚘噦瀈恚蟪譓屷芔鐬儶懳廻詴幑濊汇喙诲逥褌暳譿讳寭虺闠槥卉隳烣穢燬彚嚖回諱毀会泋鮰繪瞺嬇麾毁匯虫绘暉囬饖顪廽鏸殨挥
